id,code,name,description,created_at,updated_at
1,SCHEDULED,Zakazan,Zakazan,2026-04-08 10:00:00,2026-04-08 10:00:00
2,CONFIRMED,Potvrden,Potvrden,2026-04-08 10:00:00,2026-04-08 10:00:00
3,IN_PROGRESS,U tijeku,U tijeku,2026-04-08 10:00:00,2026-04-08 10:00:00
4,DONE,Zavrsen,Zavrsen,2026-04-08 10:00:00,2026-04-08 10:00:00
5,CANCELLED,Otkazan,Otkazan,2026-04-08 10:00:00,2026-04-08 10:00:00
6,NO_SHOW,Nije dosao,Nije dosao,2026-04-08 10:00:00,2026-04-08 10:00:00
7,RESCHEDULED,Prebacen,Prebacen,2026-04-08 10:00:00,2026-04-08 10:00:00
8,WAITING,Ceka,Ceka,2026-04-08 10:00:00,2026-04-08 10:00:00
9,PAID,Placeno,Placeno,2026-04-08 10:00:00,2026-04-08 10:00:00
10,ARCHIVED,Arhiviran,Arhiviran,2026-04-08 10:00:00,2026-04-08 10:00:00
