id,code,name,description,created_at,updated_at
1,I10,Esencijalna hipertenzija,Esencijalna hipertenzija,2026-04-08 10:00:00,2026-04-08 10:00:00
2,E11,Diabetes mellitus tip 2,Diabetes mellitus tip 2,2026-04-08 10:00:00,2026-04-08 10:00:00
3,J45,Astma,Astma,2026-04-08 10:00:00,2026-04-08 10:00:00
4,M54.5,Lumbalna bol,Lumbalna bol,2026-04-08 10:00:00,2026-04-08 10:00:00
5,K21.9,Gastroezofagealni refluks,Gastroezofagealni refluks,2026-04-08 10:00:00,2026-04-08 10:00:00
6,L20.9,Atopijski dermatitis,Atopijski dermatitis,2026-04-08 10:00:00,2026-04-08 10:00:00
7,N39.0,Infekcija mokracnog sustava,Infekcija mokracnog sustava,2026-04-08 10:00:00,2026-04-08 10:00:00
8,G43.9,Migrena,Migrena,2026-04-08 10:00:00,2026-04-08 10:00:00
9,R51,Glavobolja,Glavobolja,2026-04-08 10:00:00,2026-04-08 10:00:00
10,R53,Malaksalost i umor,Malaksalost i umor,2026-04-08 10:00:00,2026-04-08 10:00:00
