id,code,name,description,created_at,updated_at
1,DRAFT,Nacrt,Nacrt,2026-04-08 10:00:00,2026-04-08 10:00:00
2,SIGNED,Potpisan,Potpisan,2026-04-08 10:00:00,2026-04-08 10:00:00
3,FINAL,Finaliziran,Finaliziran,2026-04-08 10:00:00,2026-04-08 10:00:00
4,DELIVERED,Isporucen,Isporucen,2026-04-08 10:00:00,2026-04-08 10:00:00
5,ARCHIVED,Arhiviran,Arhiviran,2026-04-08 10:00:00,2026-04-08 10:00:00
6,CORRECTED,Ispravljen,Ispravljen,2026-04-08 10:00:00,2026-04-08 10:00:00
7,INVALID,Nevazeci,Nevazeci,2026-04-08 10:00:00,2026-04-08 10:00:00
8,PENDING,Na cekanju,Na cekanju,2026-04-08 10:00:00,2026-04-08 10:00:00
9,REVIEW,U reviziji,U reviziji,2026-04-08 10:00:00,2026-04-08 10:00:00
10,CLOSED,Zatvoren,Zatvoren,2026-04-08 10:00:00,2026-04-08 10:00:00
