id,code,name,description,created_at,updated_at
1,DRAFT,Nacrt,Nacrt,2026-04-08 10:00:00,2026-04-08 10:00:00
2,ISSUED,Izdan,Izdan,2026-04-08 10:00:00,2026-04-08 10:00:00
3,PARTIAL,Djelomicno placen,Djelomicno placen,2026-04-08 10:00:00,2026-04-08 10:00:00
4,PAID,Placeno,Placeno,2026-04-08 10:00:00,2026-04-08 10:00:00
5,OVERDUE,Dospio,Dospio,2026-04-08 10:00:00,2026-04-08 10:00:00
6,CANCELLED,Storniran,Storniran,2026-04-08 10:00:00,2026-04-08 10:00:00
7,REFUNDED,Refundiran,Refundiran,2026-04-08 10:00:00,2026-04-08 10:00:00
8,WRITE_OFF,Otpis,Otpis,2026-04-08 10:00:00,2026-04-08 10:00:00
9,COLLECTION,Naplata,Naplata,2026-04-08 10:00:00,2026-04-08 10:00:00
10,CLOSED,Zatvoren,Zatvoren,2026-04-08 10:00:00,2026-04-08 10:00:00
